"ID","N2_set6","N2_set5","e113_set6","e113_set5","padj","log2FoldChange","pvalue","stat","foldChange","log10padj"
"WBGene00013673",47.1263772112847,66.5222251222825,218.95579391267,272.107682828744,4.79033266508811e-05,2.11472397567936,1.48033645576493e-06,23.1733636285008,4.33107145850421,4.31963432591833
"WBGene00013849",50.1344438417923,72.1597018275607,175.164635130136,337.13970765574,0.00115197770840734,2.06963679467949,0.000101877056305353,15.1015971915635,4.19780978292484,2.93855592474037
"WBGene00013853",383.027150951293,167.99680581729,1560.55765843212,861.67432895769,0.00120475332777296,2.13503803864008,0.000108360452570245,14.9851518554683,4.39248706758756,2.91910186541568
"WBGene00013866",323.868507217978,315.698695495578,745.444952911772,823.168524783811,0.000290565434840003,1.29439398503552,1.61438339140321e-05,18.5974264810716,2.45273944632941,3.53675604988344
"WBGene00013884",384.029839828129,297.658770038688,1263.97208304132,859.962959883295,0.000290565434840003,1.63878153306176,1.61435930453442e-05,18.5974549243603,3.11402717220886,3.53675604988344
"WBGene00013902",375.005639936606,408.15331346214,808.145930259491,774.394506163564,0.00452849137125899,1.0150315124438,0.000563181515928195,11.8938975484712,2.02094703555567,2.34404645543986
"WBGene00013970",122.328042973973,147.701889678288,303.552350651656,365.377297383251,0.00302136357905464,1.31015651915194,0.000345195675541762,12.8077000164083,2.47968440825244,2.51979701028573
"WBGene00013975",7.01882213785092,3.38248602316691,82.6060495215983,63.3206557526008,2.7417051468143e-05,3.7935466898557,7.232687404447e-07,24.5521159832463,13.8666432846699,4.56197925268178
"WBGene00014006",110.295776451943,111.622038764508,251.799162999571,282.375897275112,0.00355485395318483,1.26773676212129,0.000422000751932625,12.4321723697819,2.40783538249036,2.4491782370239
"WBGene00014030",218.586175150214,219.861591505849,606.109447694619,437.254798507825,0.00401240841344849,1.25025255659232,0.000485390277262847,12.1709711436955,2.37883062900637,2.39659486760586
"WBGene00014046",13.034955398866,13.5299440926676,157.250070173645,187.394913646211,5.1512604042733e-10,3.69883569436779,2.45898995493229e-12,49.0786755105009,12.9855543127948,9.28808649529892
"WBGene00014047",0,2.25499068211127,16.9193113477972,45.3512804714574,0.00496060221817388,4.84662580916932,0.000631876219989738,11.6796440113369,28.7726422801993,2.30446559686592
"WBGene00014057",61.1640214869865,38.3348415958916,147.297534086705,177.98238373704,0.0035230318089209,1.70595423067432,0.000416895416619997,12.4549057269869,3.26244647099455,2.45308343562192
"WBGene00014153",144.387198264362,191.674207979458,499.617311564365,449.234382028587,0.000441434081163169,1.49848634414512,2.81147012310441e-05,17.5412131043866,2.82546113400037,3.3551341399335
"WBGene00014206",43.1156217039413,73.2871971686164,689.710750824911,499.719769723228,2.12092321059195e-10,3.35673894429943,9.72472799279018e-13,50.8989159628776,10.2442250301622,9.67347505511375
"WBGene00014254",0,3.38248602316691,97.5348536520076,44.4955959342601,3.66275546738447e-05,5.44914113106424,1.06286855469608e-06,23.8107561800871,43.6872724532169,4.43619207470442
"WBGene00014793",558.497704397566,703.557092818717,1589.42001308425,1544.51058964114,0.000313690207127382,1.31254895397654,1.79493611389388e-05,18.3953698449845,2.4837999037874,3.50349903902277
